"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034243","regulation of transcription elongation by RNA polymerase II","37/3687","94/18860",0.393617021276596,2.01345728811408,4.85560881459712,6.96880849328276e-06,0.000719064889698559,0.000629026661367365,"BRD4/CCNK/CCNT2/CDC73/EAPP/ERCC6/EZH2/GTF2F1/HNRNPU/INTS11/INTS13/INTS2/INTS3/INTS5/INTS7/LARP7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/NELFA/NELFB/NELFCD/NELFE/PARP1/PPP1R10/RECQL5/SIRT6/SUPT4H1/SUPT5H/VHL/WDR43",37
"GO:0051258","protein polymerization","88/3687","291/18860",0.302405498281787,1.54688573300637,4.63456524294944,7.4761932322573e-06,0.000758772332801721,0.00066376210836866,"ABITRAM/ABL1/ARHGAP28/ARPC2/ARPC5/BAG4/BLOC1S2/CAMSAP1/CAMSAP3/CAPG/CAPZA1/CAPZA2/CARMIL2/CDC42EP3/CDC42EP4/CDK1/CDK5R1/CEP192/CFL1/CHMP2A/CHMP3/CLASP1/CLIP3/CORO7/CYRIB/DAAM2/DCTN1/DNM2/DYRK1A/EML2/EPS8/EVL/FBXO5/FKBP4/GBA2/GPX4/GRB2/GSN/HAUS3/HAUS6/HDGFL3/HSP90AA1/JAK2/KANK1/KANK2/KANK3/KIRREL1/MAPRE3/MAPT/MECP2/MLST8/MTPN/NCKAP1/NDEL1/NUMA1/PCNT/PDE4DIP/PFN1/PFN2/PINK1/PPP2CA/PRKCE/PRKN/PYCARD/RAC1/RANBP9/RASA1/SKA1/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SSNA1/SVIL/TMOD3/TPGS2/TPPP/TRIM32/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TWF2/UBE2K/UBE2S/WASHC5",88
"GO:0007129","homologous chromosome pairing at meiosis","25/3687","54/18860",0.462962962962963,2.36818049402807,4.96309089045972,7.64538367519008e-06,0.000763428553759707,0.000667835297264058,"ANKRD31/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/PRDM9/RNF212/SIRT7/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/ZCWPW1",25
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","41/3687","109/18860",0.376146788990826,1.92409233533143,4.76954082302377,8.62393740036557e-06,0.000847472959454972,0.000741356022136689,"ABRAXAS1/ATM/AURKA/BABAM2/BRD4/BRSK1/CCNB1/CCND1/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CENPF/CHFR/DTL/FBXO5/FHL1/FOXN3/FOXO4/FZR1/INTS3/KCNH5/MARK3/MRNIP/NABP2/NAE1/PABIR1/PKMYT1/RAD21/RBBP8/RCC2/SMARCD3/TAOK1/TAOK2/TRIM39/UIMC1/VPS4B/WNT10B/ZFYVE19",41
"GO:0000070","mitotic sister chromatid segregation","63/3687","192/18860",0.328125,1.67844792514239,4.65777394343192,8.84527195091988e-06,0.000855641853877265,0.000748502042557283,"ABRAXAS1/AKAP8/ANAPC11/ANAPC7/APC/ARHGEF10/ATM/BCCIP/BUB3/CCNB1/CDK1/CDT1/CENPF/CEP192/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/EML4/FBXO5/FLNA/GEN1/HASPIN/HNRNPU/KIF11/KIF2A/KLHL22/KNL1/MAD1L1/MAD2L1/MIS12/MYBL2/NCAPD3/NCAPH/NSMCE2/NUMA1/NUP62/RAD21/RAN/RCC1/RHOA/RMDN1/SEH1L/SKA1/SKA3/SMARCA5/SMC4/SPC24/SPDL1/SPICE1/STAG1/STAG2/TENT4A/TUBG1/TUBG2/UHRF1/VPS4B/WAPL/ZWINT",63
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","27/3687","61/18860",0.442622950819672,2.26413584281503,4.87474002231526,9.51027514845971e-06,0.000905817129909447,0.000792394585244133,"AGO2/CAPRIN1/CNOT1/CNOT4/CNOT6L/CNOT8/CNOT9/DCPS/DHX9/EIF4ENIF1/FMR1/HNRNPU/LSM1/MLH1/PABPC1/PAN2/PAN3/PARN/PATL1/PDE12/POLR2G/SYNCRIP/TENT4A/TNRC6B/TNRC6C/YBX1/ZFP36L1",27
"GO:0048024","regulation of mRNA splicing, via spliceosome","43/3687","117/18860",0.367521367521368,1.87997097679767,4.70654154850352,1.04208083868058e-05,0.000970164906382722,0.000848685008516455,"C1QBP/CELF4/CIRBP/DAZAP1/DYRK1A/FMR1/HNRNPA1/HNRNPK/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/NCL/NOVA1/NPM1/PTBP1/QKI/RBFOX1/RBM10/RBM14/RBM19/RBM23/RBM42/RNPS1/SAP18/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF5/SRSF6/SRSF9/TIA1/TRA2A/U2AF2/UPF1/WTAP/YTHDC1",43
"GO:0044839","cell cycle G2/M phase transition","55/3687","162/18860",0.339506172839506,1.73666569562058,4.64184405670686,1.05784029481625e-05,0.000970164906382722,0.000848685008516455,"ABRAXAS1/AKAP8/ATF5/ATM/AURKA/BABAM2/BRD4/BRSK1/CALM3/CCNB1/CCND1/CCNQ/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CENPF/CHFR/DNM2/DTL/FBXL15/FBXO5/FHL1/FOXN3/FOXO4/FZR1/INTS3/KCNH5/KDM8/KHDRBS1/MARK3/MRNIP/NABP2/NAE1/NPM1/PABIR1/PAXIP1/PKMYT1/PLK3/PPM1D/PPME1/RAD21/RBBP8/RCC2/SMARCD3/TAOK1/TAOK2/TRIM39/UIMC1/VPS4B/WNT10B/ZFYVE19",55
"GO:1901991","negative regulation of mitotic cell cycle phase transition","63/3687","193/18860",0.326424870466321,1.6697513037686,4.61015076849797,1.06559866958529e-05,0.000970164906382722,0.000848685008516455,"ABRAXAS1/APC/ATM/BABAM2/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CDC14B/CDC6/CDC73/CDK1/CDK2AP2/CENPF/CHFR/DACT1/DTL/E2F7/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/INHBA/INTS3/KANK2/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MRNIP/NABP2/NAE1/PABIR1/PKD2/PKMYT1/PLK3/PRKDC/PRMT2/RAD21/RBBP8/RBL2/SKA1/SKA3/SPC24/SPDL1/TAOK1/TAOK2/TPRA1/TRIAP1/TRIM39/UIMC1/WAC/ZFP36L1/ZFYVE19/ZWINT",63
"GO:0016072","rRNA metabolic process","82/3687","270/18860",0.303703703703704,1.55352640408241,4.5158623921072,1.26291809302179e-05,0.0011331486831736,0.000991260654248221,"BOP1/BRF1/BYSL/CDKN2A/CHD7/DDX10/DDX11/DDX51/DDX52/DEDD2/DHX37/DKC1/ERCC2/ERCC6/ESF1/EXOSC1/EXOSC2/EXOSC5/EXOSC8/FBL/FTSJ3/GEMIN4/GTF2H5/GTF3A/GTF3C1/GTF3C2/HEATR1/KRI1/LYAR/MAK16/MAPT/MPHOSPH10/MPHOSPH6/MTERF4/MYG1/NAT10/NCL/NOB1/NOL7/NOLC1/NOP56/PAK1IP1/POLR1A/POLR2E/POP4/POP7/PPAN/PRKDC/PWP1/PWP2/RBFA/RIOK2/RPL5/RPP38/RPP40/RPS15/RPS16/RPUSD1/RRP1/RRP1B/RRP7A/RRP7BP/RRP9/SART1/SIRT7/SMARCA4/SMARCB1/SPIN1/SUV39H1/TAF1B/TFB1M/TOP1/TRMT112/TSR3/USP36/UTP18/UTP20/UTP4/WDR12/WDR18/WDR43/YTHDF2",82
